UDI,Server Type,CPU Utilization [%],Memory Usage [%],Air Temperature [K],Disk I/O Operations,Network Latency [ms],Power Consumption [W],Machine Failure,Vibration Level [g],Cooling Efficiency [%],Network Throughput [Mbps]
75,M,33,56,296.9079676196126,2979,33.98564993608704,381.07541247719666,0,1.8048000204617165,71,896
76,M,45,58,294.6455985386333,3773,30.23796671877468,398.54130112324293,0,1.4328694361891257,92,873
77,M,43,95,295.59896090984984,4559,30.063186298002783,362.6248445683464,0,1.7593198975654043,54,985
78,L,63,63,290.9326571212756,3109,26.564878975334423,404.1037745748355,1,1.3368709150170304,89,877
79,L,43,27,295.6291607283082,3926,32.994026850107026,359.7933475314633,1,2.118833186843994,97,229
80,L,92,36,297.10602481284485,2077,26.800995871265627,376.4056024167874,1,1.2020271826311686,55,693
81,H,26,81,293.1804966525718,3385,26.799419513924207,308.2367535978701,0,1.7080827942812113,87,404
82,M,14,15,296.511019149959,4446,31.445757247082405,386.31853720497065,0,1.432447403533027,56,243
83,L,98,84,294.0960527227745,3924,30.70247341871552,284.71169857782144,0,1.4385835576508943,67,802
84,L,27,78,293.8466283508502,1473,30.168990427363862,298.8101372590336,1,1.4144920566971062,74,870
85,L,64,80,297.8483756201655,1111,20.92602842322834,311.6205973480022,1,1.3046134731845203,52,619
86,L,62,31,294.93421134710445,1989,31.19008294301485,433.8848786807117,1,1.2576290629081037,74,607
87,M,59,68,296.7336314922613,4340,19.96358601903228,332.1348925228148,1,1.1967160919258104,70,202
88,M,81,56,291.0947650232854,3371,35.1115251594227,372.3751956384545,0,1.4639106008718228,80,648
89,H,100,77,293.78032655865553,1618,27.2322535064688,378.07970007693706,1,1.5225942133653798,95,694
90,L,88,41,296.4231936062003,1794,30.794838691675974,376.5042228653751,1,1.3419913183010241,98,466
91,L,54,92,295.2488189165153,1882,27.095172958090796,299.4101629358779,1,0.8584566572964841,91,590
92,M,22,10,294.6322667021835,2703,31.53893551760871,368.3950725985838,0,1.5085216531054368,65,858
93,M,25,63,296.20795538456844,4657,23.974798462490213,301.51003874650286,1,1.451498477958555,71,985
94,M,95,55,293.3372893965298,3795,39.25512112902372,267.83183879542116,1,1.7880334177480555,100,933
95,M,93,50,297.43448183506496,2627,26.566708565653265,434.9489664056943,0,1.462336536860323,78,136
96,L,22,50,294.57483952001854,2108,34.38027690554316,337.6034843811941,0,1.597544087777701,61,520
97,M,29,17,293.36852165627295,3419,24.426587368458335,340.12751736543953,1,1.856495398098632,95,870
98,L,75,41,293.4998703670963,2098,28.036903723290045,403.40524991066746,0,2.095123690370394,92,591
99,L,56,39,294.8369002276687,1595,26.24992878495788,392.0552401295512,1,1.4930964770506363,50,543
100,L,28,55,294.1470460800603,4828,27.014031923524648,321.3935711647421,0,1.1239068005263446,75,197
101,L,54,61,296.052318780902,1507,32.11547712158954,367.98939516087233,1,1.9269646565877772,59,709
102,M,46,98,294.9072608967719,3275,32.33705159262631,379.49806715385523,0,0.5,74,482
103,L,63,70,294.28803580534503,3642,32.03810797680889,288.35512940503077,1,1.1875100484970793,74,207
104,M,15,22,295.7067870107867,3035,25.638669885590378,316.6042008268196,0,1.2592809030033458,92,392
105,H,23,98,293.94091709612155,2417,30.648184670758482,337.88508659281786,0,1.7242030085071083,53,467
106,L,13,49,295.98266793356635,3062,25.767858716259756,355.8255667803364,1,1.452532961593727,67,847
107,L,95,70,295.65278563913785,4052,37.331722867046565,420.00773322791804,0,1.1608484982594671,92,734
108,M,64,53,295.57048562108713,3860,25.37244599926308,320.52952253703154,1,2.2499578952079435,57,772
109,L,43,71,294.2841043661285,3228,27.639921069192773,428.49984263677186,0,1.3868811761447781,56,825
110,L,36,53,293.74078161762117,4579,30.290309781898,378.5570631514768,1,1.1582915417781088,66,850
111,L,16,57,296.61741494316567,3385,24.893098698469558,274.4872958374851,0,1.1328449079303475,55,348
112,L,12,83,296.22810862058185,2286,33.16813649082617,371.1519117336807,1,1.133944407499768,91,912
113,H,56,68,292.98402858542346,1925,35.57042255912029,427.5082773721559,1,1.512388977653478,93,531
114,H,11,66,294.1343444700633,3125,25.583988225649463,345.23557998813754,1,1.347821596624954,70,675
115,M,89,20,297.67942060792376,1228,26.60653669536654,318.21746963986766,1,1.3445389383049382,51,159
116,H,34,34,296.96801502663084,2768,35.97001013297897,326.65607166648067,1,1.537356834195733,62,758
117,H,69,70,292.6599577564657,4101,30.723572096560332,379.6215695587295,1,1.4313362117777342,81,542
118,L,88,55,295.0237778288431,3421,28.897835822078186,286.044325926246,1,1.5873436504144103,62,909
119,H,33,63,295.8380092008358,3202,26.189370735330886,443.2840321762118,1,1.410281867650129,78,968
120,M,24,43,296.9872726078663,1816,28.154465101736964,410.7462121772263,1,1.4011394404670041,54,114
121,H,23,93,295.254243890138,4256,29.267697588321216,390.15197774464605,0,1.2620944941949093,75,406
122,H,63,16,295.9677212004017,3495,33.197507319908816,297.6902062883438,0,1.455388566980868,87,437
123,L,87,71,296.86268736736355,1868,29.986351463080133,429.166590931066,1,1.65957482126797,81,992
124,L,15,66,297.1313882904071,1446,25.449160930658756,419.48393953614146,1,1.787119572288211,97,307
125,L,87,85,294.63846329198253,3479,27.385823540818887,428.93420041265483,0,1.5226317261180087,67,390
126,L,90,14,295.0911175549342,3814,24.40978348839343,372.82805012021157,0,0.5,66,415
127,H,27,85,293.4838954382324,4240,29.33775856834969,358.35544411223236,1,1.9776477567641226,69,202
128,H,29,44,294.45374170968915,4152,41.27093473878965,371.2630674900884,0,1.2918032363438265,64,366
129,L,71,93,294.1851751626775,1797,42.38521414060597,381.9237416616806,0,1.5212612759157442,64,490
130,M,90,46,294.62276179434133,2233,31.63635879925104,422.28399977514835,1,1.6801209046654304,96,769
131,L,89,69,294.8115075797738,4330,21.73604956317375,290.0883750330108,0,1.7820303910649196,53,657
132,L,49,74,296.6267231594544,4035,34.630390122776454,369.73998826998434,1,2.301818849859816,58,360
133,L,48,25,295.69864562905076,3596,33.33629916591215,383.7503457717272,0,1.5721071481028592,93,165
134,L,61,39,292.4401257461788,2309,43.435218792495114,410.4746840400377,0,1.717727144610178,95,912
135,H,41,82,296.1007850154582,4125,30.372926162645225,343.332241633184,0,1.567837511530771,82,612
136,L,82,51,293.9024375548066,1468,27.874241972801798,362.68803074344515,1,1.8008846720840386,59,994
137,M,36,70,292.82119720277865,3416,25.007576124751814,352.5878342222189,1,1.8067064511239166,96,502
138,M,61,83,292.71547578400646,4795,34.112137486883846,373.470359597297,0,1.8905933681469516,92,666
139,L,72,86,295.3395561405388,1853,29.060679751589554,330.2245239375961,0,1.1715403210581357,50,724
140,H,83,57,297.1218411137748,3019,28.719371844417246,391.0825161022992,0,1.4463142906583988,89,274
141,H,72,71,294.5783798826215,2123,27.48343695995847,378.2689843489525,1,1.8074352734330421,58,762
142,L,26,93,296.87453410865567,2620,41.00038629187747,286.0809671268838,0,1.4354557685349822,71,265
143,L,58,73,295.1713468435306,4031,27.938646736041697,300.0421596233047,0,1.640483505820439,75,371
144,L,90,66,290.6887782774832,1724,33.50223969127917,349.4224851568196,0,1.5493690597202951,84,113
145,L,91,77,296.22429750873215,4974,32.31118129267462,512.8870574175553,0,1.4318304988796735,82,349
146,L,32,55,293.91565015425016,4847,18.88478409631524,344.4409639338027,0,0.9652981963117002,59,361
147,M,81,37,293.37892487777464,4029,41.06622928806386,307.35769715424084,0,1.3223730286740474,87,359
148,M,22,86,296.2357820131253,3645,20.73595538847877,322.8760771886913,0,1.6175921460725124,68,936
149,L,32,12,295.26771974886725,2598,25.49461735160891,383.5888549002425,0,1.5730837779878521,53,902
150,L,66,46,294.8654642882613,2470,27.46012461272737,438.2104471644921,1,1.383897533602886,68,765
151,H,71,57,295.19410472582086,4263,26.373821328573637,325.9160326238143,1,1.4277200889733548,56,492
152,L,63,28,293.30581738126256,3461,28.85488673038568,367.78461343013294,1,2.125238001247052,61,346
153,L,29,92,298.53992174281933,2505,26.13991194938498,330.9804117011946,0,1.5540573577370296,76,296
154,L,95,26,295.3451498955916,1092,36.783179900357894,389.6217681438995,1,1.3164575761857422,81,764
155,H,61,91,295.31727979974664,2276,32.95445698042825,331.0096704225662,1,1.1305370743655738,76,912
156,L,32,91,294.8259050198344,4721,26.896377770566005,396.64258395060284,0,1.812038783172167,70,181
157,M,44,96,291.76692392513536,4012,25.816733280928673,225.84676055990724,1,1.502706009207803,54,969
158,M,76,49,293.65086888091724,1560,27.175348453217243,389.0502488878058,0,1.2330175860121697,68,257
159,L,43,59,292.5524543725772,2656,25.473947966595006,344.1356953781486,0,0.9353478684751902,100,159
160,M,42,82,292.3606838661798,4110,24.005257516336357,382.3930784991023,0,1.4622627269553397,56,899
161,L,55,38,291.91687509336003,1545,34.67708235355167,350.8330449610674,0,2.1074540104381327,63,198
162,M,90,60,293.7295829469164,4429,28.049209709758877,291.62783071462724,0,1.8569735348558971,58,695
163,M,54,51,295.0409672989911,1777,31.97550164306688,360.6795669738652,1,1.3482556102534728,86,898
164,M,28,38,292.155611357699,4080,30.325177264798324,390.84891009476223,1,1.6492366220965367,99,190
165,L,96,75,296.39968696875746,1187,37.247906658292244,363.31770797713966,1,1.068869964727346,58,672
166,H,24,26,295.5949182962523,1607,34.47663544294004,278.0047779092473,0,1.4382627846640414,54,244
167,L,87,40,294.5365823523691,3692,31.808642948209144,361.1598978268878,1,1.507147205299764,97,278
168,L,75,61,299.3241863902038,1674,41.47675389010067,375.89011859419793,1,1.0893506709163998,58,754
169,L,48,48,294.5188032849781,3186,26.474265204786786,329.68509558123145,1,1.2279416649688923,92,353
170,M,27,69,296.5964208156072,3345,29.06139163500356,200.0999820409291,1,1.2903843578349148,79,239
171,M,79,60,295.41893166234934,2103,33.26561183113979,325.7080713852862,1,1.6224204652691567,63,110
172,L,68,93,297.87747480496097,2626,34.22165927436226,286.8928436994429,1,1.5774210571956873,52,973
173,M,41,25,297.16916957468254,2279,25.606463134632968,345.0602102648965,1,1.22480070050424,73,683
174,L,30,23,294.39999736787166,4731,29.83042687257333,287.4295184286409,0,1.683619354430555,77,678
175,M,49,99,294.47263810840735,3226,30.111051473120494,285.4529168939838,1,1.5044397020726055,88,836
176,L,36,93,292.3171696541527,2280,41.65289839682476,388.69558026001096,0,2.019962509877251,60,727
177,M,11,51,295.23190950096,1217,33.31168524271693,358.1530727246196,0,1.1223742677432815,66,124
178,L,89,60,296.3092814549112,3314,35.4037022250808,374.63850169655296,1,1.9855634147087913,67,905
179,H,48,33,294.87625604436795,2340,28.057486409245204,321.47060940366947,1,1.3555614194690142,100,972
180,L,95,91,297.8012121226755,1590,26.247700912472556,326.0042267585045,0,1.9750662576287072,66,195
181,L,65,52,295.290223178263,1678,27.88122825069705,318.0872850156743,0,1.6931387550589272,74,788
182,L,22,82,297.4948218252768,1615,32.7392451149055,324.65496745208225,1,1.0947623327824911,90,633
183,H,65,28,294.6737161320065,4887,37.37603522343116,326.96341745508124,1,1.542889455882618,63,334
184,H,75,93,292.68092522562915,1849,22.887670105822387,300.28729399414493,0,1.9351642274654224,70,294
185,L,87,70,293.750019630073,3007,39.904503739163566,314.43577870509347,1,1.2799535485815972,60,507
186,M,65,72,294.93560298813674,4355,34.43173656980356,359.7431587151799,1,1.8562887712857044,96,823
187,H,37,35,293.5009075225055,4416,35.005212530164314,299.98752034681996,0,1.8546327981591613,76,754
188,M,73,44,291.6898677709803,1726,34.670864538453415,366.34968859288307,0,1.9676018546023935,53,912
189,M,80,76,290.99532815910936,1074,27.96912778800187,271.50534349162774,0,1.6628888015921501,100,464
190,L,91,65,297.02781522845027,3784,29.361026304547785,365.17927984061544,0,1.2768004980678622,90,652
191,L,73,49,295.7706656819441,1335,33.40228383555189,346.2177888067032,1,1.7184945443608866,83,917
192,H,65,38,295.5513170167706,1803,28.750620993046763,366.11069903703327,1,1.8628705539343993,89,468
193,H,50,15,295.33671386855826,1854,31.170483667780736,366.1523735387299,0,1.749979788003207,56,909
194,M,50,61,293.90513006233675,2605,26.68144040224749,298.8649500021098,1,0.847956293798204,67,805
195,L,13,10,296.58866738613284,1362,33.86412443855782,352.8140125099617,0,1.56876530648685,68,225
196,L,66,61,291.52144544157875,3237,29.295699907671803,293.5181678249869,1,1.716157702028557,67,196
197,M,39,33,290.8318142113028,4543,27.976085236831306,329.4425503423193,1,1.9543988313696596,64,689
198,H,97,43,294.59670098972646,3021,25.87199884324827,396.9374874656195,1,1.0327077537215403,60,543
199,H,93,16,295.25939633578406,2129,26.674738831341344,300.83401076488906,0,1.167840836808191,61,235
200,M,55,84,293.23177164969815,3117,23.39833292574994,347.17330025850356,0,1.484342983159254,84,181
201,M,65,20,291.8133411856421,3569,32.115670176652664,309.5002660718684,0,2.2634948867818045,85,338
202,L,40,45,296.1813303862413,4285,27.009418322139133,365.2799507643832,0,1.7338062224063033,99,476
203,L,97,29,294.17714259378533,4030,29.78801632574799,396.1479393285813,1,1.284552186821676,61,796
204,H,16,72,296.3881769295875,3564,36.075746012506414,326.59548006986995,0,1.490486785099434,65,557
205,M,99,89,297.6114098204335,3075,29.40070228600022,360.8011378759834,1,1.7132892581599604,77,638
206,L,86,72,291.79282968322593,4386,29.21150145717241,338.8841560011282,0,1.6025058237878855,93,713
207,L,63,78,295.42663624734234,1904,29.74645417870879,301.23447902633217,0,1.573636672002627,88,779
208,M,17,97,295.49918619471714,2958,31.463278000928035,367.73864718272654,1,1.367628468467765,93,301
209,L,64,39,296.4888513813342,4824,27.661470483280542,374.29120664745545,1,1.3836430893023213,85,310
210,L,78,39,293.93317479351924,2530,34.260266678505026,300.6613771874994,0,1.6109500437898632,79,590
211,M,53,93,295.1116613868429,4307,30.65036253033569,393.1836158445815,1,1.6907935232799653,65,316
212,M,22,31,296.46733555715804,3139,27.2856137424006,413.54728125805093,0,0.9612178303401994,65,993
213,M,29,70,295.87550176167235,4901,28.284861270684043,305.42989478392974,1,1.448815268393197,98,493
214,L,87,30,298.11789506366426,2880,35.71491697482493,418.924703052625,0,1.8951169800932715,69,770
215,M,41,46,293.26309406094634,1362,26.712873803110323,350.200256569266,0,2.156516129571276,58,978
216,L,69,36,295.414048911528,3085,32.09994926159801,346.54534626728815,0,1.757324644841568,95,1000
217,L,59,44,294.82743369620675,2754,32.38980766769823,433.1579097547566,1,1.6751025505142962,54,945
218,M,36,47,294.58696825245147,3711,24.62478650976113,391.88493527858327,0,1.8490811042408497,80,946
219,M,34,69,296.1762774992009,3751,22.76664626095007,318.8306664165189,1,1.6055978058542628,67,511
220,H,61,79,295.23128914558515,4704,28.38544715550197,324.60400359027363,0,1.151122743285333,93,172
221,M,77,41,292.8680994361258,3538,34.02751289784934,366.288423889878,0,1.4048872028277863,71,589
222,M,30,89,296.9054151505152,2706,22.646419506443785,365.7638474184606,0,1.0735234229501527,88,683
223,L,27,89,296.1805190307453,2133,25.637617655652917,348.0762668503697,0,1.7671949765909,51,463
224,L,48,36,297.9493818725576,1143,33.36252110269215,314.82316220621044,0,0.9006873960604265,99,240
225,L,24,12,296.4542391915282,4649,24.65691717279708,322.655878385641,0,1.598688981973614,52,682
226,L,62,58,294.5729554830193,3881,35.11460576439039,348.8050378464758,0,1.6311640092336943,96,605
227,H,47,94,294.5882664372592,4268,43.254654648915746,270.72078389578326,0,1.4924936827050528,77,295
228,L,57,39,297.07160166233984,2069,25.92278116944961,374.87995483747494,1,0.6765628774598252,60,756
229,H,61,31,293.465776023863,4220,37.362887878535155,362.8871655305964,1,1.0761823090375393,59,664
230,M,97,28,293.19022545182156,2595,31.639576358421774,303.2049297048545,1,1.5402334302092302,69,101
231,M,81,40,295.44075161167524,3185,26.04047962075831,374.243936314612,1,1.738701532765515,80,260
232,M,37,29,292.0118310553961,3537,37.96312637585009,264.30113729286717,1,1.4989602193031866,100,848
233,M,94,28,295.69741069385475,3449,32.03385302369028,368.44342208257603,1,1.904302995778706,94,585
234,L,25,11,295.93937017001696,3649,35.95060651849798,394.8959583366302,0,1.663658647240565,97,354
235,L,25,49,294.5072123283697,3771,41.72838144524743,369.71629461207965,0,1.5039595307087734,71,917
236,M,44,48,297.8160832334089,3728,29.462357216237624,380.1318384216112,1,1.4858166425322277,67,740
237,L,26,100,297.2559446185836,1931,32.76318592767123,383.3052279652296,1,1.2936274009265805,61,728
238,L,82,81,293.4435762792154,3672,24.42314089109862,369.77625660562103,0,2.226884194566543,64,705
239,M,61,63,296.31152379783776,1340,27.67413324958242,347.3415686269986,0,1.746930807224162,83,912
240,L,91,36,296.96908303188985,2601,29.59267747192505,334.03456678652935,1,1.621693148241291,94,131
241,H,21,88,295.16553736252945,1301,31.05802137911452,407.2945525527696,0,1.4657647615605904,77,161
242,H,92,21,294.1363770722876,3165,19.355947470001578,380.3512974815173,0,1.5604227028655557,93,962
243,H,57,87,292.7824255326228,2760,37.74332179720937,409.2664526507197,1,0.9236259954103435,64,423
244,L,31,80,293.8835445413105,1150,33.17049407635711,399.561117827173,1,1.5139993081746583,84,775
245,L,58,26,292.8269834368122,2190,32.58343560163047,291.43168869751804,1,1.4883076967130633,66,754
246,H,61,99,296.8249322803683,3654,40.243367169008216,316.6994396932488,0,0.6916586886065076,87,475
247,L,88,93,294.4897194308113,1771,38.10545716048822,257.90881518556307,1,1.9004300312196487,60,213
248,H,10,19,296.043303561957,2448,29.243206542852917,272.13744687164933,0,1.5874675136118952,75,177
249,H,75,28,297.52060377175223,2794,27.151677113184782,259.7325033921795,1,1.5550478007941269,78,117
250,H,73,91,295.42435779053847,1996,33.11480985826757,237.0497548811345,1,1.2926454048569547,74,238
251,L,17,39,297.35414972813487,3484,37.757808179423684,338.1020549857438,1,1.926186659481923,53,435
252,L,95,39,294.2988817661548,1631,29.25684605666606,408.7410450711262,1,1.6158320844840819,76,242
253,H,34,34,295.7729117594803,4145,34.44665347094866,367.75400676528665,0,1.1797742746757143,91,302
254,L,75,97,295.410813882402,1361,38.53174799212646,384.7786852036056,1,1.0929317525683004,71,860
255,L,82,83,293.59696857090944,1095,34.94114792434829,352.7007496350873,1,1.1888890169585262,73,574
256,M,82,75,294.3813241884848,1291,22.02523571444908,357.2004058799579,1,1.3624177891366216,68,538
257,H,86,44,297.8303783576017,4248,24.02613467530614,388.8474475476622,1,1.320370457602408,90,542
258,M,79,60,294.3102589804004,3074,39.915159707009366,341.8375803681845,1,1.3265064643356586,76,935
259,M,88,80,291.6747252686594,3868,30.549021576168368,356.2815680424302,1,1.6232449483818776,68,162
260,L,60,80,294.3075272815387,1304,31.65041924395664,329.65113037225694,0,1.3388876289550438,96,991
261,M,62,36,293.4941411007762,3770,32.84042834224863,289.09453530215796,1,1.8715435115435255,90,284
262,H,24,19,295.9118455979741,3917,37.159802744428745,343.5793655268311,1,2.0892429276101905,62,253
263,L,59,52,296.2295876652237,1768,26.08567823536919,291.2170691977242,1,1.1559417012995024,80,461
264,M,80,64,295.7162578391143,1985,27.936233038940706,394.01600998373567,0,1.8916129250834615,51,944
265,H,84,80,294.1810478589402,3989,24.97317401233304,374.44096270261514,0,1.2216738744475726,76,953
266,M,47,15,295.11836766659655,4901,19.679913636023315,424.4883116108206,0,1.7828069559355955,57,979
267,M,49,15,294.3694569017182,1204,32.050197723535845,310.81802662825606,1,1.6282581468438044,61,715
268,M,75,86,292.10633986447635,1866,25.67083359884765,281.3581100085586,1,1.852807264641356,78,184
269,L,48,57,294.775796074518,2014,34.812757056172366,273.68105345025697,1,1.1593785259517106,78,750
270,L,83,86,300.0,3625,26.96661857626241,428.7443014837379,0,1.711095744244111,71,285
271,H,26,11,292.94149859375403,1661,23.266698054438763,330.1624417090552,1,1.1807919657274306,79,933
272,H,16,92,291.29031010388945,1678,35.271186512587704,275.02034483810644,0,1.4133221867857109,58,608
273,H,48,60,297.847886761528,3267,32.61444960677313,373.51729339652235,1,1.2511511038320908,54,558
274,H,77,70,295.89730714290323,1299,29.17228614003679,333.29829488926634,0,1.1636580095382831,85,736
275,M,44,28,295.59588094233123,1257,29.45281705061706,302.70285973932715,1,1.52720573957238,62,445
276,M,60,11,294.28284661381065,3762,33.003869641370464,424.34751176344594,0,1.7359645873953442,96,524
277,M,56,60,295.4525058802989,1239,38.508140044422674,342.9310632344518,1,1.5345851182622559,51,728
278,M,45,35,295.10353517925,4898,32.008576887071676,378.354348840915,0,1.5046952072935709,82,242
